No,PublicationNo,Title,Inventor,Link,FilingDate
1,特開2016-042527(P2016-42527A),希土類異方性磁石材料およびその製造方法,"平山悠介,高橋有紀子,宝野和博,広沢哲","高橋有紀子,https://samurai.nims.go.jp/profiles/takahashi_yukiko,宝野和博,https://samurai.nims.go.jp/profiles/kazuhiro_hono",2014/8/18 0:00
2,WO2018/070322,立体物形成指示装置、立体物の製造方法、及びプログラム,"山崎淳,古宇田光,長代新治,千田範夫,古川祐貴,古賀良太",,2017/10/4 0:00
3,特開2020-113648(P2020-113648A),希土類磁石、膜、積層体、希土類磁石の製造方法、モータ、発電機、及び、自動車,"小川大介,高橋有紀子,広沢哲,宝野和博",,2019/1/11 0:00
4,特開2020-139183(P2020-139183A),ＳｍＺｒＦｅＣｏ磁性化合物およびその製造方法,"小川大介,ペリン トズマン,
高橋有紀子,広沢哲,宝野和博",aa,2019/2/27 0:00
