No,Title,Author,Link,PublicationMedia,PublicationDate,DOI
141,Study on Using Materials for a Purple Glass Bottle Manufactured at Edo-Era,"F Kirino, K Yokoyama, M Saigan, M Igari, H Tsuchiura",,"Journal of the Japan Institute of Metals and Materials, 巻:82, 号:2, ページ:44-51, 2018",2017/12/12 0:00,10.2320/jinstmet.J2017033
138,"First-Principles study on the magnetic properties of ordered Nd6(Fe,Ga)14 alloys","K.hyodo, Y.toga, A.Sakuma",,"Journal of Applied PhysicsNumber 122 page 243904-1～243904-5, 2017",2017/12/1 0:00,10.1063/1.5007723
139,Interplay between staggered flux and d-wave superconducting orders in t-t′-J model,"K.Kobayashi, H.Yokoyama, Y.toga",,"Journal of Physics:Conference Series, 巻:1054, 記事番号:UNSP 012016, 2018",2017/12/1 0:00,10.1088/1742-6596/1054/1/012016
169,A Chemical Bond-based Representation of Materials,"Van-Doan Nguyen, Dinh-Khiet Le, Tien-Lam Pham, Hieu-Chi Dam",,"The Thirty-second Annual Conference on Neural Information Processing Systems (NIPS) 2017, Machine Learning for Molecules and Materials Workshop proceeding, arXiv:1712.01663v2",2017/12/1 0:00,
170,Neural Network for Learning Universal Atomic Forces,"Tien-Lam Pham, Hiori Kino, Takashi Miyake, Viet-Cuong Nguyen, Hieu-Chi Dam",,"The Thirty-second Annual Conference on Neural Information Processing Systems (NIPS) 2017, Machine Learning for Molecules and Materials Workshop proceeding",2017/12/1 0:00,
144,Fabrication and characterization of L10-ordered FeNi thin films,"K. Takanashi, M. Mizuguchi, T. Kojima, T. Tashiro",,"Journal of Physics D: Applied Physics 50, 483002 (2017).",2017/10/1 0:00,10.1088/1361-6463/aa8ff6
155,Distribution of eigenstate populations and dissipative beating dynamics in uniaxial single-spin magnets,"Takuya Hatomura, Bernard Barbara, Seiji Miyashita",,"Physical Review B 96, 134309 (1-10), 2017",2017/10/1 0:00,10.1103/PhysRevB.96.134309
159,L-edge resonant magneto-optical Kerr effect of a buried Fe nanofilm,"Y. Kubota, M. Taguchi, H. Akai, Sh. Yamamoto, T. Someya, Y. Hirata, K. Takubo, M. Araki, M. Fujisawa, K. Yamamoto, Y. Yokoyama, S. Yamamoto, M. Tsunoda, H. Wadati, S. Shin, I. Matsuda",,"Physical Review B 96, 134432-1--6 (2017)　　",2017/10/1 0:00,10.1103/PhysRevB.96.134432
160,Determination of the element-specific complex permittivity using a soft X-ray phase modulator,"Y. Kubota, Y. Hirata, J. Miyawaki, S. Yamamoto, H. Akai, R. Hobara, Sh. Yamamoto, K. Yamamoto, T. Someya, K. Takubo, Y. Yokoyama, M. Araki, M. Taguchi, Y. Harada, H. Wadati, M. Tsunoda, R. Kinjo, A. Kagamihata, T. Seike, M. Takeuchi, T.Tanaka, S. Shin, I. Matsuda",,"Physical Review B 96, 214417-1-6 (2017)",2017/10/1 0:00,10.1103/PhysRevB.96.214417
168,Machine learning reveals orbital interaction in materials,"Tien-Lam Pham, Hiori Kino, Kiyoyuki Terakura, Takashi Miyake, Koji Tsuda, Ichigaku Takigawa, Hieu-Chi Dam",,"Science and Technology of Advanced Materials, 巻:18, 号:1, ページ:756-765, 2017",2017/10/1 0:00,10.1080/14686996.2017.1378060
147,First-order reversal curve (FORC)解析と永久磁石材料への適用,"岡本 聡, 蓬田貴裕, 宮澤和則, 菊池伸明, 北上 修, 渡辺奈生巳, 吹田尚久",,"まてりあ, 56(9), 533-540, 2017",2017/9/1 0:00,10.2320/materia.56.533
148,Temperature and field direction dependences of first-order reversal curve (FORC) diagrams of hot-deformed Nd-Fe-B magnets,"T. Yomogita, S. Okamoto, N. Kikuchi, O. Kitakami, H. Sepehri-Amin, T. Ohkubo, K. Hono, T. Akiya, K. Hioki, A. Hattori",,"Journal of Magnetism and Magnetic Materials, 巻:447, ページ:110-115, 2018",2017/9/1 0:00,10.1016/j.jmmm.2017.09.072
137,Magnetization reversal of exchange-coupled and exchange-decoupled Nd-Fe-B magnets observed by magneto-optical Kerr effect microscopy,"M Soderžnik, H Sepehri-Amin, TT Sasaki, T Ohkubo, Y Takada, T Sato, Y Kaneko, A Kato, T Schrefl, K Hono",,"Acta Materialia 135, 2017, 68-76",2017/8/1 0:00,10.1016/j.actamat.2017.05.006
143,α-Fe/FePd複合粉末の作製と磁気特性,"阿部 格, 小川 智之, 松浦 昌志, 手束 展規, 齊藤 伸, 杉本 諭",,"電気学会マグネティックス研究会資料 （MAG-17-69～74 ）, 2017",2017/8/1 0:00,
153,Cluster evolution in molecular three-dimensional spin-crossover systems,"Laurentiu Stoleriu, Masamichi Nishino, Seiji Miyashita, Alexandru Stancu, Andreas Hauser, Cristian Enachescu",,"Physical Review B 96, 064115 (1-6), 2017",2017/8/1 0:00,10.1103/PhysRevB.96.064115
156,Shortcuts to Adiabaticity in the Infinite-Range Ising Model by Mean-Field Counter-Diabatic Driving,Takuya Hatomura,,"JOURNAL OF THE PHYSICAL SOCIETY OF JAPAN. 86, 094002 (1-6), 2017",2017/8/1 0:00,10.7566/JPSJ.86.094002
142,アークプラズマ蒸着法による複合磁性ナノ粒子の作製,"松浦昌志, 五十嵐拓也, 山本鉄郎, 手束展規, 杉本諭",,"粉体および粉末冶金(J. Jpn. Soc. Powder Powder Metallurgy), Vol64, No.7, pp 364-371, 2017",2017/7/1 0:00,10.2497/jjspm.64.364
146,ナノ秒パルス磁場を用いたNd-Fe-B薄膜の磁化反転過程,"門ノ沢 和也, 菊池 伸明, 後藤 龍太, 岡本 聡, 北上 修",,"電気学会論文誌Ａ（基礎・材料・共通部門誌）, 137(7), 374-379, 2017",2017/7/1 0:00,10.1541/ieejfms.137.374
166,フェーズフィールド法と特性計算の新潮流,小山敏幸,,"特殊鋼, vol.66, pp.36-39, 2017",2017/7/1 0:00,
154,Synergetic effect of spin-orbit coupling and Zeeman splitting on the optical conductivity in the one-dimensional Hubbard model,"Adrien Bolens, Hosho Katsura, Masao Ogata, Seiji Miyashita",,"Physical Review B 95, 235115(1-8), 2017",2017/6/1 0:00,10.1103/PhysRevB.95.235115
149,"First-principles study of intersite magnetic couplings in NdFe12 and NdFe12X (X = B, C, N, O, F)","Taro Fukazawa, Hisazumi Akai, Yosuke Harashima, Takashi Miyake",,"Journal of Applied Physics. 122, 053901(1-9) (2017)",2017/5/1 0:00,10.1063/1.4996989
171,Learning structure-property relationship in crystalline materials: A study of lanthanide-transition metal alloys,"Tien-Lam Pham, Duong-Nguyen Nguyen, Van-Doan Nguyen, Hiori Kino, Takashi Miyake, Hieu-Chi Dam",,"The Journal of Chemical Physics, 巻:148, 号:20, 記事番号:204106, 2018",2017/5/1 0:00,10.1063/1.5021089
165,Quantitative evaluation of site preference in Dy-substituted Nd2Fe14B,"Kotaro Saito, Shotaro Doi, Taichi Abe, Kanta Ono",,"Journal of Alloys and Compounds, 巻:721, ページ:476-481, 2017",2017/4/1 0:00,10.1016/j.jallcom.2017.04.155
117,Atomistic-model study of temperature-dependent domain walls in the neodymium permanent magnet Nd2Fe14B.,"M.Nishino, Y. Toga, S. Miyashita, H. Akai, A.Sakuma, S. Hirosawa",,"Physical Review B 95, 094429 (1-7), 2017",2017/3/28 0:00,10.1103/PhysRevB.95.094429
88,"Perspectives for high-performance permanent magnets:applications, coercivity, and new materials","Satoshi Hirosawa, Masamichi Nishino, Seiji Miyashita",,"Advances in Natural Sciences: Nanoscience and Nanotechnology, 8(1):013002, 2017",2017/3/2 0:00,10.1088/2043-6254/aa597c
102,Coercivity enhancement of hot-deformed Nd-Fe-B magnets by the eutectic grain boundary diffusion process using Nd62Dy20Al18 alloy,"L. Liu, H. Sepehri Amin, T. Ohkubo, M. Yano, A. Kato, N. Sakuma, T. Shoji, K. Hono",,"Scripta Materialia 129, 44-47 (2017)",2017/3/1 0:00,10.1016/j.scriptamat.2016.10.020
101,Microstructure and magnetic properties of grain boundary modified recycled Nd-Fe-B sintered magnets,"H. Sepehri-Amin, T. Ohkubo, M. Zaktonik, D. Prosperi, P. Afiuny, C.O. Tudor, K. Hono",,"Journal of Alloys and Compounds 694, 175-184 (2017)",2017/2/15 0:00,10.1016/j.jallcom.2016.09.305
105,単原子交互積層法による新規磁気異方性材料L10-FeNi薄膜の作製と特性評価 (解説),"水口将輝, 小嶋隆幸, 田代敬之, 高梨弘毅",,"まぐね/Magnetics Jpn. (日本磁気学会誌), 12(1), 13-20, 2017",2017/2/1 0:00,
125,【紹介】3D プリンタで分子の電子雲を再現──きわめて精巧な分子模型の作製技術,"山崎淳 (東大物性研), 古宇田光 (東大物性研), 長代新治(クロスアビリティ), 千田範夫(クロスアビリティ), 古賀良太 (クロスアビリティ)",,"月刊　化学　/化学同人, 72(3), 39-42, 2017",2017/2/1 0:00,
130,中性子ビームでみる永久磁石材料の内部磁気構造,上野哲朗,,"CROSS T&T　第55号, 40-43, 2017",2017/2/1 0:00,
161,Maximum performance of permanent magnet materials,H. Akai,,"Scripta Materialia (2018), 巻:154, ページ:300-304, 2018",2017/2/1 0:00,10.1016/j.scriptamat.2018.02.006
162,First-principles calculation of transition-metal Seebeck coefficients,"S. Kou, H. Akai",,"Solid State Communications (2018), 巻:276, ページ:1-4, 2018",2017/2/1 0:00,10.1016/j.ssc.2018.02.018
100,Coercivities of hot-deformed magnets processed from amorphous and nanocrystalline precursors,"X. Tang, H. Sepehri-Amin, T. Ohkubo, K. Hioki, A. Hattori, K. Hono",,"Acta Materialia 123, 1-10 (2017)",2017/1/15 0:00,10.1016/j.actamat.2016.10.026
116,Size and temperature dependence of the line shape of ESR spectra of the XXZ antiferromagnetic chain.,"H.Ikeuchi, H.D.Raedt, S. Bertaina, S. Miyashita",,"Physical Review B 95, 024402(1-10), 2017",2017/1/4 0:00,10.1103/PhysRevB.95.024402
118,ネオジム磁石の粒界構造と局所磁性の電子論,"合田義弘, 立津慶幸, 常行真司",,"日本金属学会誌, 81(1), 26-31, 2017",2017/1/1 0:00,10.2320/jinstmet.JA201601
126,Quantitative magnetic-moment mapping of a permanent-magnet material by X-ray magnetic circular dichroism nano-spectroscopy,"Tetsuro Ueno, Ai Hashimoto, Yasuo Takeichi, Kanta Ono",,"AIP Advances, 巻:7, 号:5, 記事番号: 056804, 2017",2017/1/1 0:00,10.1063/1.4975043
164,量子ビームを用いた永久磁石材料の評価分析,小野寛太,,"まてりあ, 56, 199 (2017)",2017/1/1 0:00,10.2320/materia.56.199
