No,Title,Author,Link,PublicationMedia,PublicationDate,DOI
63,Strain measurements from Nd2Fe14B grains in sintered magnets using artificial moiré fringes,"Y. Murakami, T.T. Sasaki, T. Ohkubo, K. Hono,",,"ACTA MATERIALIA. 101, 101-106 (2015)",2015/12/1 0:00,10.1016/j.actamat.2015.08.058
68,Temperature-dependent magnetization reversal process and coercivity mechanism in Nd-Fe-B hot-deformed magnets,"S. Okamoto, R. Goto, N. Kikuchi, O. Kitakami, T. Akiya, H. Sepehri-Amin, T. Ohkubo, K. Hono, K. Hioki, A. Hattori",,"Journal of Applied Physics, 巻:118, 号:22, 記事番号: 223903, 2015",2015/12/1 0:00,10.1063/1.4937274
73,Computation of ESR spectra from the time evolution of the magnetization:Comparison of autocorrelation and Wiener-Khinchin-relation-based methods.,"H. Ikeuchi, H. De Raedt, S. Bertaina, S. Miyashita",,"PHYSICAL REVIEW B 92,214431(1-7) (2015)",2015/12/1 0:00,10.1103/PhysRevB.92.214431
72,"Nitrogen as the best dopant among X=B, C, N, O, and F for strong permanent magnet NdFe11TiX: First-principles study","Yosuke Harashima, Kiyoyuki Terakura, Hiori Kino, Shoji Ishibashi, Takashi Miyake",,"PHYSICAL REVIEW B 92, 184426 (2015)",2015/11/25 0:00,10.1103/PhysRevB.92.184426
61,Formation of non-ferromagnetic grain boundary phase in a Ga-doped Nd-rich Nd-Fe-B sintered magnet,"T.T. Sasaki, T. Ohkubo, Y. Takada, T. Sato, A. Kato, Y. Kaneko, K. Hono",,"Scripta Materialia, 巻113, ページ218-221, 2016",2015/11/21 0:00,10.1016/j.scriptamat.2015.10.042
81,Near-field correction in the first-principles calculations by the exact two-center expansion for the inverse of the distance,"M. Ogura, C. Zecha, M. Offenberger, H. Ebert, H. Akai",,"J. Phys: Condens. Matter 27, 485201-1–8 (2015).",2015/11/13 0:00,10.1088/0953-8984/27/48/485201
64,Microstructure and temperature dependent of coercivity of hot-deformed Nd–Fe–B magnets diffusion processed with Pr–Cu alloy,"H. Sepehri-Amin, Lihua Liu, T. Ohkubo, M. Yano, T. Shoji, A. Kato, T. Schrefl, K. Hono,",,"ACTA MATERIALIA. 99, 297-306 (2015)",2015/10/15 0:00,10.1016/j.actamat.2015.08.013
83,Structural and Magnetic Depth Profile Analyisis of L10 FeNi Film by Polarized Neutron Reflectometry,"Tetsuro Ueno, Kotaro Saito, Nobuhito Inami, Takayuki Kojima, Masaki Mizuguchi, Noboru Miyata, Kazuhiro Akutsu, Masayasu Takeda, Koki Takanashi, Kanta Ono",,"JPS Conference Proceedings, 8, 034008 (2015) [6 pages]",2015/9/25 0:00,10.7566/JPSCP.8.034008
80,遮蔽KKR法による第一原理電子状態計算,赤井　久純,,固体物理、50、473-480 (2015)　　,2015/9/15 0:00,
82,Simple Surfactant Concentration-Dependent Shape Control of Polyhedral Fe3O4 Nanoparticles and Their Magnetic Properties,"Wanyin Ge, Ryota Sato, Hsin-Lun Wu, Toshiharu Teranishi",,"ChemPhysChem, 巻:‏16, 号:‏15, ページ:‏3200-3205, 2015",2015/8/26 0:00,10.1002/cphc.201500605
79,Role of N in the Permanent Magnet Material Sm2Fe17Nx,"Masako Ogura, Ayaka Mashiyama, Hisazumi Akai",,"Journal of the Physical Society of JapanVol.84, No.8, Article ID: 084702, 2015",2015/7/7 0:00,10.7566/JPSJ.84.084702
59,永久磁石材料開発における元素戦略的アプローチと現状,広沢哲,,"工業材料, 63(7), 57-64, 2015",2015/7/1 0:00,
65,Dy を使わない Nd-Fe-B 磁石の開発動向,宝野和博,,"まてりあ 54(7), 351-355 (2015)",2015/7/1 0:00,10.2320/materia.54.351
86,Estimation of Materials Parameters by Data Assimilation with Phase-Field Method,"T.Koyama, Y.Tsukada, Y.Kawai",,"Proceedings of International Conference on Solid-Solid Phase Transformations  in Inorganic Materials (PTM2015), pp.831-832. 2015",2015/6/28 0:00,
85,カルファド法とフェーズフィールド法によるNd-Fe-B磁石の組織解析,"小山敏幸, 阿部太一",,"「省/脱Dyネオジム磁石と新規永久磁石の開発」,宝野和博,広沢哲監修,シーエムシー出版, pp.66-72, 2015",2015/6/26 0:00,
70,Quasiparticle States Around a Half-quantum Vortex in a Chiral p-wave Superconducting State.,"S. Kikuchi, Y. Kikuchi, T. Yoshioka, H. Tsuchiura, Sigrist. M",,"Physics Procedia, Volume 65, 2015, Pages 93–96",2015/6/20 0:00,10.1016/j.phpro.2015.05.137
66,Rare-Earth Lean Hard Magnet Compound NdFe12N,"Y. Hirayama, T. Miyake, K. Hono,",,"JOM 67, 1344-1349 (2015)",2015/6/1 0:00,10.1007/s11837-015-1421-9 
77,統計物理学による磁気モーメントの反転に対する核生成理論の構築,"宮下精二, 西野正理",,"省/脱Dyネオジム磁石と新規永久磁気の開発,シーエムシー出版(165-171), 2015",2015/6/1 0:00,
69,Crystal field parameters with Wannier functions: application to Nd2Fe14B systems,"T. Yoshioka, H. Tsuchiura, Novak. P",,"Materials Research Innovations, 巻:19, 補足:3, ページ:S34-S38, 2015",2015/5/26 0:00,10.1179/1432891715Z.0000000001416
58,Current status of research and development toward permanent magnets free from critical elements,広沢哲,,"JOURNAL OF THE MAGNETIC SOCIETY OF JAPAN(日本応用磁気学会誌), 2015 Volume 39 Issue 3 Pages 85-95",2015/5/1 0:00,10.3379/msjmag.1504R004
67,"Preparation, Characterization, and Modeling of Ultrahigh Coercivity Sm–Co Thin Films","O. Akdogan, H. Sepehri-Amin, N. M. Dempsey, T. Ohkubo, K. Hono, O. Gutfleisch, T. Schrefl, D. Givord",,"ADVANCED ELECTRONIC MATERIALS, 巻1, 号5,  記事番号1500009, (2015)",2015/5/1 0:00,10.1002/aelm.201500009
71,Robust flat bands in RCo5 (R=rare earth) compounds,"Masayuki Ochi, Ryotaro Arita, Munehisa Matsumoto, Hiori Kino, Takashi Miyake",,"PHYSICAL REVIEW B  91, 165137 (2015)",2015/4/29 0:00,10.1103/PhysRevB.91.165137
84,Temperature dependence of post-sintered annealing on magnetic properties of intergranular phase in Nd-Fe-B permanent magnet,"Yasui. A, Nakamura. T, Kotani. Y, Fukagawa. T, Nishiuchi. T, Hirosawa. S",,"Journal of Applied Physics, 巻:‏ ,117 号:‏17, 記事番号:17B313, 2015",2015/4/8 0:00,10.1063/1.4916938
38,First-Principles Calculations of Crystal Field Parameters of Nd Ions Near Surfaces and Interfaces in Nd-Fe-B Magnets,"Tsuchiura.H, Yoshioka.T, Novak.P",,"IEEE TRANSACTIONS ON MAGNETICS, 巻50, 号11, 記事番号2105004, 2014",2015/3/6 0:00,10.1109/TMAG.2014.2329294
40,Structural and magnetic properties of FeNi thin films fabricated on amorphous substrates,"T. Y. Tashiro, M. Mizuguchi, T. Kojima, T. Koganezawa, M. Kotsugi, T. Ohtsuki, K. Takanashi",,"Journal of Applied Physics, 117, 17E309 (2015)",2015/3/6 0:00,10.1063/1.4913935
49,Optimized effective potential method and application to static RPA correlation,"T. Fukazawa, H. Akai",,J. Phys.: Condens. Matter 27 (2015) 115502 -1-10,2015/3/4 0:00,10.1088/0953-8984/27/11/115502
41,Energy barrier analysis of Nd-Fe-B thin films,"Goto. R, Okamoto. S, Kikuchi. N, Kitakami. O",,"Journal of Applied Physics, 巻117, 号17, 記事番号17B514, 2015",2015/3/1 0:00,10.1063/1.4913940
48,"Realization of the thermal equilibrium in inhomogeneous magnetic systems by the Landau-Lifshitz-Gilbert equation with stochastic noise, and its dynamical aspects","M. Nishino, S. Miyashita",,"PHYSICAL REVIEW B 91, 134411 (1-13), 2015",2015/3/1 0:00,10.1103/PhysRevB.91.134411
43,Ab initio Disordered Local Moment Approach for a Doped Rare-Earth Magnet,"Munehisa Matsumoto, Rudra Banerjee, Julie B. Staunton",,"JPS Conference Proceedings, 5,011004 (2015)",2015/2/26 0:00,10.7566/JPSCP.5.011004
44,"First-Principles Study of Structural and Magnetic Properties of R(Fe,Ti)12 and R(Fe,Ti)12N (R=Nd,Sm,Y)","Yosuke Harashima, Kiyoyuki Terakura, Hiori Kino, Shoji Ishibashi, Takashi Miyake",,"JPS Conference Proceedings, 5,011021 (2015)",2015/2/26 0:00,10.7566/JPSCP.5.011021
31,希少元素フリー高性能永久磁石開発への元素戦略磁性材料研究拠点の取り組み,広沢　哲,,"紛体粉末冶金協会誌「粉末および粉末冶金」第62巻, 61-66, 2015",2015/2/1 0:00,10.2497/jjspm.62.61
50,Magnetization reversal of a Nd-Cu-infiltrated Nd-Fe-B nanocrystalline magnet observed with small-angle neutron scattering,"Kotaro Saito, Tetsuro Ueno, Masao Yano, Masashi Harada, Tetsurya Shoji, Noritsugu Sakuma, Akira Manabe, Akira Kato, Uwe Keiderling, Kanta Ono",,"Journal of Applied Physics 117, 17B302 (2015)",2015/2/1 0:00,10.1063/1.4908026
